JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Industry,JobUrl
Sales Associate-MAYFAIR SHOPPING CENTRE,Bath & Body Works,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"A merchandise discount of 30% at Bath & Body Works.
Support product replenishment activities that keep the store full and abundant.",,Retail & Wholesale,ca.indeed.com/rc/clk?jk=89cf1556174fe70d&fccid=08ff7fcad836cdbb&vjs=3
Starbucks Barista,Starbucks,"Victoria, BC+3 locations",EmployerActive 19 days ago,2022-08-06,"Meet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and security, with or…",$16.00–$16.30 an hour,Retail & Wholesale,ca.indeed.com/company/Starbucks/jobs/Barista-adc85d8e40d82060?fccid=a88e611ddef97571&vjs=3
Stocking Associate,Staples Canada,"Victoria, BC",Hiring ongoing,2022-08-06,"Ensure that a clean and safe environment is always top-of-mind, keeping the safety of yourself, fellow associates, and our customers as a key priority.",$15.75–$16.25 an hour,Retail & Wholesale,ca.indeed.com/company/Staples/jobs/Stocking-Associate-e690d464b1d21900?fccid=2c749d549b16ad16&vjs=3
Customer Experience Representative,Indigo,"Victoria, BC",PostedPosted 20 days ago,2022-08-06,"Conduct inventory cycle counts, replenish stock, manage product returns, shelve products, and receive and process incoming store merchandise.",,Retail & Wholesale,ca.indeed.com/rc/clk?jk=4473669322e14021&fccid=4a6c4ce2d444d091&vjs=3
Educator,Lululemon,"Victoria, BC",PostedPosted 17 days ago,2022-08-06,"Faciliter une expérience-invité harmonieuse du début à la fin, en effectuant des transactions précises et rapides avec les invités et en exécutant des…",Part-time,Retail & Wholesale,ca.indeed.com/rc/clk?jk=662f99e6a442743f&fccid=43f0f7dbd55927e9&vjs=3
Sales Associate - Government Street,Eddie Bauer,"Victoria, BC",PostedPosted 10 days ago,2022-08-06,The Sales Associate is responsible for driving store sales through outfitting our customers and delivering legendary customer service.,,Retail & Wholesale,ca.indeed.com/rc/clk?jk=a9936a63aa4e554d&fccid=068a41cd2b5a8d9f&vjs=3
Logistics/Warehouse Manager,Canadian Tire Hillside (Store 365),"Victoria, BC",PostedPosted 28 days ago,2022-08-06,"Prepares merchandise for filing, sorts and fills merchandise carts for the retail floor.
As a member of the store’s Management Team, the Warehouse Manager…",,Retail & Wholesale,ca.indeed.com/rc/clk?jk=3d83b9fa3cc7edcc&fccid=2e16043297423070&vjs=3
(CAN) Cashier / Customer Experience Associate,Walmart Canada,"Victoria, BC+1 location",PostedPosted 30+ days ago,2022-08-06,"Our part time flex roles provide flexibility of more hours or less hours when needed.
Walmart will accommodate the disability-related needs of applicants and…",Part-time,Retail & Wholesale,ca.indeed.com/rc/clk?jk=911bcbf2cc2a29d7&fccid=822bc5d9a49270ea&vjs=3
Lessons Coordinator,Long & McQuade,"Victoria, BC",PostedPosted 28 days ago,2022-08-06,"Liaise with store staff to promote and market Long & McQuade products and services.
Train and supervise lesson staff.
Confirm and administer teacher pays.",Full-time,Retail & Wholesale,ca.indeed.com/rc/clk?jk=08080cd2fdedc064&fccid=5c236a19046f8284&vjs=3
Financial Controller,Planet Inc.,"Victoria, BC",PostedPosted 11 days ago,2022-08-06,"Managing weekly cash flow activities, including disbursing payments, recording receipts, forecasting cash flows, and advising senior management of cash flow…",$33–$38 an hour,Retail & Wholesale,ca.indeed.com/company/Planet-Inc./jobs/Financial-Controller-8de94924a0607dde?fccid=54b7d0f5c4b6576a&vjs=3
retail investigator,C3 Client Satisfaction,"Victoria, BC",PostedPosted 12 days ago,2022-08-06,Student status Full time enrollment Own Tools/Equipment Computer Screening questions Are you available for shift or on-call work? Are you currently legally…,$15.65–$20.00 an hour,Retail & Wholesale,ca.indeed.com/rc/clk?jk=5a854d53a92abf2b&fccid=00c34e193a1d9b98&vjs=3
Stocking Associate,Staples Canada,"Victoria, BC",Hiring ongoing,2022-08-06,"Ensure that a clean and safe environment is always top-of-mind, keeping the safety of yourself, fellow associates, and our customers as a key priority.",$15.75–$16.25 an hour,Retail & Wholesale,ca.indeed.com/company/Staples/jobs/Stocking-Associate-e690d464b1d21900?fccid=2c749d549b16ad16&vjs=3
Cashier - Mayfair Shopping Centre,SportChek,"Victoria, BC",PostedPosted 7 days ago,2022-08-06,"We are offering a comp package that includes training and development, a competitive salary, flexible work hours, product discounts, and much more!",Part-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSUZ24wxT_7q53MJq6-nL3_W4Zgk2C6N_-8QuWUYtCiCH5qx9VH1URNho0JKrghP1-UDBtw_uKl1fZlAp2C4YbqbgVD5hU6CHGYJzVQJbdEuOuxRpZKkevN6dZpKPxwLVqaQC6SrwSxgY9KPOS6zlwfFhnjcohb8DnqxZCzJZHM-CqFTPLYQFhmL_cs4eRF2F33sJI8SZAZ85osPSpWXbT7XK1IWzdJIsw9L0hrRcIrLQQ-DhRaiveCiZInTw6uzv6J6endBNSqSlehXi3B2xialIBuSE9hnpWLlkyQ9izR0Rdk4Iqd7qtBjvNJCmSsof1C0r6BvtzLy6r3BJ7qCxB5c9EOraP3tD4rt0gQgTAckzFPn6EL9Nad082c11QglQ-jnfj6f5qQH1dI8dYIX1q_WvSSfxLPZJhZznvIBg3k8CtvJ-5xd2i2iEuXeULqyhKUabXptfICmMXnK4Oh9REDv6OtRhQXWeLhjgfVc_mhw9hIFl-QKVcChZsLUyDi8Glq50DPXc_VVC4VNBkNsy-nOQ2LULVbZuPzOXQLxhaWHtGwRQHqXUl40ol4yI3itZYMtCOtK7xvVry3EmoVgixLDQBLhgNec_q4eZ92I1LvwqAs3gnXJjymqINZ95Ks_ue1t6dnHUyruhWCXlPZ2oUk33NENeG4wh32Vblm8in-tmgSa1cjvlt4Bj-LqyVd_Sb8cwHbp2eFNb_Bt6GRvx-ToP7GPzqcw4=&xkcb=SoDR-_M3b6tOWh2f1R0JbzkdCdPP&p=2&fvj=0&vjs=3
Starbucks Barista,Starbucks,"Victoria, BC+3 locations",EmployerActive 19 days ago,2022-08-06,"Meet store operating policies and standards, including providing quality beverages and food products, cash handling and store safety and security, with or…",$16.00–$16.30 an hour,Retail & Wholesale,ca.indeed.com/company/Starbucks/jobs/Barista-adc85d8e40d82060?fccid=a88e611ddef97571&vjs=3
Educator,Lululemon,"Victoria, BC",PostedPosted 17 days ago,2022-08-06,"Faciliter une expérience-invité harmonieuse du début à la fin, en effectuant des transactions précises et rapides avec les invités et en exécutant des…",Part-time,Retail & Wholesale,ca.indeed.com/rc/clk?jk=662f99e6a442743f&fccid=43f0f7dbd55927e9&vjs=3
Customer Experience Representative,Indigo,"Victoria, BC",PostedPosted 20 days ago,2022-08-06,"Conduct inventory cycle counts, replenish stock, manage product returns, shelve products, and receive and process incoming store merchandise.",,Retail & Wholesale,ca.indeed.com/rc/clk?jk=4473669322e14021&fccid=4a6c4ce2d444d091&vjs=3
