JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Industry,JobUrl
Medical Associate,FYidoctors,"Penticton, BC",PostedPosted 30+ days ago,2022-08-06,"Ongoing training and development opportunities.
Customer service activities including appointment bookings, prescription printouts, and billing and payments.",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=ca09b002b632e2bc&fccid=918b795addabd391&vjs=3
Switchboard Operator/registration Clerk,INTERIOR HEALTH AUTHORITY,"Penticton, BC",PostedPosted 30+ days ago,2022-08-06,Cashier duties - receiving payments; recording payments in cash journals and/or summary sheets; and issuing change and receipts;,Night shift +1,Healthcare,ca.indeed.com/rc/clk?jk=c64f402dc40411c6&fccid=819aaf068231c6d3&vjs=3
Penticton Community Health Care Aide,Bayshore HealthCare,"Penticton, BC",Posted21 days ago,2022-08-06,"Have either a reliable mode of transportation (Bus, Train, etc) OR a valid driver’s license and reliable vehicle for commuting.",,Healthcare,ca.indeed.com/rc/clk?jk=1c9d08422a282c3a&fccid=35be63b10340b18e&vjs=3
Manager of Regional Operations,MHMI,"Penticton, BC",Posted25 days ago,2022-08-06,"Collaborates with hospital leadership to develop business strategy and aids in its implementation.
Makes recommendations for staff training and development.",,Healthcare,ca.indeed.com/rc/clk?jk=f859660a044d9260&fccid=5508f145c0bbb04c&vjs=3
support worker - social services,ARC PROGRAMS LTD.,"Penticton, BC",Posted10 days ago,2022-08-06,"Personal and social adjustment and health (substance abuse, gambling, behaviour disorders).
Develop, co-ordinate and implement the delivery of specific services…",$22.90–$25.65 an hour,Healthcare,ca.indeed.com/rc/clk?jk=8e53e636e2dc3302&fccid=9dc47f8a2adecfbd&vjs=3
"General Manager, Prh",EllisDon,"Penticton, BC",Posted10 days ago,2022-08-06,"Experienced in the management of projects end to end i.e. scope development, spec development, tendering review and evaluation, managing contractor installation…",,Healthcare,ca.indeed.com/rc/clk?jk=2c5386b070955010&fccid=5fec8a638fc3e20a&vjs=3
Community Mental Health Worker 1 | Mhsu,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted25 days ago,2022-08-06,"Community access (e.g.: public transportation and general community services); and.
This position works with the assigned client population(s) in developing,…",,Healthcare,ca.indeed.com/rc/clk?jk=a8409430b5f6ec4b&fccid=819aaf068231c6d3&vjs=3
Long–Term Care Attendant - Multiple Opportunities Available!,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"Working under the direction of RN’s and LPN’s, LTCAs have key responsibilities in the individual care plan for each client, ensuring their physical, emotional…",Part-time +1,Healthcare,ca.indeed.com/rc/clk?jk=bb5cc9a4183e9f26&fccid=819aaf068231c6d3&vjs=3
Infection Control Practitioner (Icp),INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"The ICP participates in the development, implementation and evaluation of infection control initiatives using quality improvement methodologies, evidence…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=bdb1708b65093730&fccid=819aaf068231c6d3&vjs=3
Cleaner,INTERIOR HEALTH AUTHORITY,"Summerland, BC+1 location",Posted30+ days ago,2022-08-06,"Cleans areas including floors, stairways, walls, windows and ceilings by sweeping, vacuuming, dust mopping, spot washing and wet washing;",,Healthcare,ca.indeed.com/rc/clk?jk=87d9c594d7099ec2&fccid=819aaf068231c6d3&vjs=3
Hearing Instrument Specialist,Beltone,"Penticton, BC",Posted30+ days ago,2022-08-06,Must hold a diploma from a Hearing Aid Practitioner education program of at least two years' duration and be approved by the College of British Columbia.,Full-time,Healthcare,ca.indeed.com/rc/clk?jk=a064c71587cfe1c3&fccid=7ffddfbb015f3ec6&vjs=3
Case Coordinator Acquired Brain Injury (Neuro Rehabilitation),INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted22 days ago,2022-08-06,"Majority of this position will be traveling within the community to clients’ home; therefore, a valid driver’s license and access to a personal vehicle is…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=d02eabc37b4d9547&fccid=819aaf068231c6d3&vjs=3
